Id,Top-Left,Bottom-Right,Top,Bottom,Left,Right,Top_Box,Bottom_Box,Left_Box,Right_Box
76,"(1559, 714)","(1716, 766)","(1637.5, 714)","(1637.5, 766)","(1559, 740.0)","(1716, 740.0)","[120.95660378830087, 78]","[103.93507588874894, 70]","[103.93507588874894, 70]","[103.93507588874894, 70]"
77,"(1735, 697)","(1781, 762)","(1758.0, 697)","(1758.0, 762)","(1735, 729.5)","(1781, 729.5)","[76.52613932506983, 79]","[76.52613932506983, 79]","[76.52613932506983, 79]","[102.17631819555841, 70]"
78,"(1796, 694)","(1873, 769)","(1834.5, 694)","(1834.5, 769)","(1796, 731.5)","(1873, 731.5)","[72.58443359288546, 80]","[72.58443359288546, 80]","[72.58443359288546, 80]","[76.52613932506983, 78]"
79,"(1885, 694)","(1929, 762)","(1907.0, 694)","(1907.0, 762)","(1885, 728.0)","(1929, 728.0)","[72.58443359288546, 79]","[71.80529228406496, 72]","[71.80529228406496, 72]","[71.80529228406496, 72]"
80,"(1387, 455)","(1457, 533)","(1422.0, 455)","(1422.0, 533)","(1387, 494.0)","(1457, 494.0)","[73.63762625180146, 59]","[92.72809714428524, 82]","[73.63762625180146, 59]","[73.63762625180146, 59]"
81,"(1465, 468)","(1564, 533)","(1514.5, 468)","(1514.5, 533)","(1465, 500.5)","(1564, 500.5)","[74.8615388567454, 60]","[92.72809714428524, 81]","[74.8615388567454, 60]","[74.8615388567454, 60]"
82,"(1578, 472)","(1653, 513)","(1615.5, 472)","(1615.5, 513)","(1578, 492.5)","(1653, 492.5)","[68.0018382104484, 84]","[68.0018382104484, 84]","[68.0018382104484, 84]","[80.11398130164298, 62]"
83,"(1668, 458)","(1699, 526)","(1683.5, 458)","(1683.5, 526)","(1668, 492.0)","(1699, 492.0)","[68.0018382104484, 83]","[68.0018382104484, 83]","[81.76337811025178, 63]","[68.0018382104484, 83]"
84,"(1801, 455)","(1934, 516)","(1867.5, 455)","(1867.5, 516)","(1801, 485.5)","(1934, 485.5)","[99.5904111850132, 64]","[83.96576683387106, 54]","[83.96576683387106, 54]","[83.96576683387106, 54]"
85,"(1948, 472)","(2098, 513)","(2023.0, 472)","(2023.0, 513)","(1948, 492.5)","(2098, 492.5)","[82.09750300709517, 66]","[99.58036955143318, 56]","[82.09750300709517, 66]","[82.09750300709517, 66]"
86,"(2110, 455)","(2272, 516)","(2191.0, 455)","(2191.0, 516)","(2110, 485.5)","(2272, 485.5)","[82.08684425655551, 67]","[77.78174593052023, 57]","[77.78174593052023, 57]","[77.78174593052023, 57]"
87,"(307, 615)","(457, 677)","(382.0, 615)","(382.0, 677)","(307, 646.0)","(457, 646.0)","[-1, 0]","[76.73493337457198, 33]","[76.73493337457198, 33]","[76.73493337457198, 33]"
88,"(411, 793)","(556, 854)","(483.5, 793)","(483.5, 854)","(411, 823.5)","(556, 823.5)","[109.24856978468871, 96]","[123.10158406779338, 90]","[-1, 0]","[-1, 0]"
89,"(580, 796)","(633, 861)","(606.5, 796)","(606.5, 861)","(580, 828.5)","(633, 828.5)","[-1, 0]","[123.10158406779338, 89]","[-1, 0]","[-1, 0]"
